date,campaign_name,impressions,clicks,spend,conversions,revenue
2026-03-01,Brand Search,17795,960,187.58,69,4208.64
2026-03-01,Generic Search,16423,1496,500.84,94,20192.42
2026-03-01,Retargeting,4433,1315,794.16,78,3497.76
2026-03-01,Prospecting Meta,10666,1182,349.9,25,2222.05
2026-03-01,YouTube Awareness,5005,662,336.85,66,12069.06
2026-03-01,Display Remarketing,16502,1397,761.66,143,8653.09
2026-03-02,Brand Search,17787,608,674.9,14,1095.77
2026-03-02,Generic Search,3021,665,460.03,26,5272.23
2026-03-02,Retargeting,2161,301,721.12,25,1464.59
2026-03-02,Prospecting Meta,3016,395,683.4,34,2540.01
2026-03-02,YouTube Awareness,18216,620,629.18,8,1689.98
2026-03-02,Display Remarketing,8736,491,596.76,38,2444.64
2026-03-03,Brand Search,10392,879,298.17,12,1299.46
2026-03-03,Generic Search,12965,1060,337.2,106,5140.05
2026-03-03,Retargeting,2206,1138,133.17,51,7131.22
2026-03-03,Prospecting Meta,14383,584,236.97,31,2729.48
2026-03-03,YouTube Awareness,18198,1366,170.92,117,17931.64
2026-03-03,Display Remarketing,12230,1471,317.22,130,5214.21
2026-03-04,Brand Search,11474,1482,173.49,90,8691.89
2026-03-04,Generic Search,2663,1497,214.07,101,9425.55
2026-03-04,Retargeting,19675,1236,161.07,114,14400.23
2026-03-04,Prospecting Meta,2854,1348,525.76,105,16391.29
2026-03-04,YouTube Awareness,6931,302,327.24,12,1665.16
2026-03-04,Display Remarketing,9777,297,349.12,29,2077.87
2026-03-05,Brand Search,13589,563,80.58,38,5606.5
2026-03-05,Generic Search,10338,1271,533.88,37,8758.39
2026-03-05,Retargeting,6736,572,206.8,37,2839.4
2026-03-05,Prospecting Meta,11208,980,231.39,23,5269.02
2026-03-05,YouTube Awareness,9158,108,259.15,11,2418.11
2026-03-05,Display Remarketing,14183,727,113.1,23,3849.05
2026-03-06,Brand Search,17586,1235,126.1,84,13039.66
2026-03-06,Generic Search,4869,1286,538.97,42,4550.03
2026-03-06,Retargeting,5987,1258,590.7,37,6492.45
2026-03-06,Prospecting Meta,9022,1059,698.13,13,3235.12
2026-03-06,YouTube Awareness,12716,1169,736.15,41,5326.67
2026-03-06,Display Remarketing,14468,706,772.71,64,13999.28
2026-03-07,Brand Search,3816,665,572.02,36,8924.81
2026-03-07,Generic Search,5009,254,271.47,13,892.98
2026-03-07,Retargeting,14533,1299,464.61,55,9262.98
2026-03-07,Prospecting Meta,14323,784,195.71,12,607.94
2026-03-07,YouTube Awareness,15403,1477,120.49,84,12932.25
2026-03-07,Display Remarketing,19532,249,493.12,0,0.0
2026-03-08,Brand Search,17338,543,294.99,41,5577.05
2026-03-08,Generic Search,2876,1091,448.52,63,6103.11
2026-03-08,Retargeting,7177,1469,69.01,153,11146.32
2026-03-08,Prospecting Meta,15407,1241,585.95,79,15401.71
2026-03-08,YouTube Awareness,11662,680,508.79,34,6771.02
2026-03-08,Display Remarketing,11435,1192,120.62,37,7749.71
2026-03-09,Brand Search,6452,122,86.04,16,1516.6
2026-03-09,Generic Search,13922,541,425.78,39,8662.36
2026-03-09,Retargeting,2851,789,480.03,21,4459.02
2026-03-09,Prospecting Meta,7387,1291,729.01,36,1577.76
2026-03-09,YouTube Awareness,4082,826,103.39,29,4990.26
2026-03-09,Display Remarketing,2412,1499,601.3,129,25494.15
2026-03-10,Brand Search,16527,838,792.88,40,4462.75
2026-03-10,Generic Search,9357,136,228.95,12,1080.36
2026-03-10,Retargeting,15584,161,422.42,6,365.98
2026-03-10,Prospecting Meta,15923,495,768.91,41,7466.99
2026-03-10,YouTube Awareness,7486,243,386.33,7,1268.6
2026-03-10,Display Remarketing,9651,1274,635.97,33,8071.54
2026-03-11,Brand Search,6729,1256,602.78,83,10233.64
2026-03-11,Generic Search,19924,128,113.63,11,1296.18
2026-03-11,Retargeting,10691,610,730.77,40,5646.0
2026-03-11,Prospecting Meta,7301,266,368.17,19,2725.57
2026-03-11,YouTube Awareness,6748,853,401.5,9,582.12
2026-03-11,Display Remarketing,11576,1124,560.78,27,1549.99
2026-03-12,Brand Search,19312,1033,377.25,103,11099.71
2026-03-12,Generic Search,13003,1352,239.74,98,8381.93
2026-03-12,Retargeting,11588,1382,725.87,17,4072.97
2026-03-12,Prospecting Meta,2667,472,258.04,12,1370.45
2026-03-12,YouTube Awareness,2539,831,320.26,27,1263.23
2026-03-12,Display Remarketing,7320,1028,358.41,71,3976.15
2026-03-13,Brand Search,14677,982,594.29,63,13978.03
2026-03-13,Generic Search,7124,1242,358.44,97,11554.17
2026-03-13,Retargeting,6158,1340,777.44,123,6376.18
2026-03-13,Prospecting Meta,14763,808,799.79,95,8734.59
2026-03-13,YouTube Awareness,7997,100,765.54,5,905.29
2026-03-13,Display Remarketing,12015,133,318.62,3,447.79
2026-03-14,Brand Search,12357,870,440.12,89,6064.74
2026-03-14,Generic Search,17254,1330,638.5,76,14633.3
2026-03-14,Retargeting,11550,1119,273.47,65,13095.73
2026-03-14,Prospecting Meta,6164,645,515.6,22,3557.98
2026-03-14,YouTube Awareness,14234,210,146.66,2,138.31
2026-03-14,Display Remarketing,14647,999,309.25,93,7085.41
2026-03-15,Brand Search,13314,1128,308.81,41,6241.39
2026-03-15,Generic Search,18907,445,720.66,8,860.26
2026-03-15,Retargeting,12488,146,520.93,4,933.53
2026-03-15,Prospecting Meta,6432,1149,701.23,21,5189.39
2026-03-15,YouTube Awareness,2302,738,743.03,26,3940.71
2026-03-15,Display Remarketing,17745,464,96.76,7,1290.13
2026-03-16,Brand Search,19302,849,612.21,14,1601.19
2026-03-16,Generic Search,3906,1138,128.65,83,17973.58
2026-03-16,Retargeting,8229,225,139.82,21,3834.84
2026-03-16,Prospecting Meta,10258,332,423.83,6,979.42
2026-03-16,YouTube Awareness,9943,1492,473.34,62,10390.37
2026-03-16,Display Remarketing,12167,414,789.89,23,1411.61
2026-03-17,Brand Search,3605,723,170.51,17,1298.94
2026-03-17,Generic Search,15046,998,443.38,46,10200.8
2026-03-17,Retargeting,10837,217,243.43,6,1411.01
2026-03-17,Prospecting Meta,2846,814,478.71,32,2536.93
2026-03-17,YouTube Awareness,11333,935,369.08,57,9589.12
2026-03-17,Display Remarketing,14607,238,749.01,10,1175.38
2026-03-18,Brand Search,2009,360,97.53,35,3271.61
2026-03-18,Generic Search,12568,884,137.52,40,7866.19
2026-03-18,Retargeting,12161,433,749.7,44,10320.39
2026-03-18,Prospecting Meta,5391,1017,86.07,83,14366.41
2026-03-18,YouTube Awareness,18984,1165,344.33,104,14264.93
2026-03-18,Display Remarketing,8565,1146,379.06,75,11376.76
2026-03-19,Brand Search,5687,203,518.18,7,1202.73
2026-03-19,Generic Search,17374,1412,450.1,133,14026.4
2026-03-19,Retargeting,19334,388,75.15,27,6051.26
2026-03-19,Prospecting Meta,13104,1241,665.94,30,2003.18
2026-03-19,YouTube Awareness,9863,114,647.97,1,191.67
2026-03-19,Display Remarketing,17770,194,498.83,14,2321.15
2026-03-20,Brand Search,7779,110,769.31,3,386.87
2026-03-20,Generic Search,18729,401,511.21,39,3656.77
2026-03-20,Retargeting,2827,782,749.09,51,8212.05
2026-03-20,Prospecting Meta,13641,1113,107.99,26,6012.35
2026-03-20,YouTube Awareness,3792,913,226.93,19,4101.59
2026-03-20,Display Remarketing,5072,666,220.55,45,3742.73
2026-03-21,Brand Search,8456,216,502.79,4,885.36
2026-03-21,Generic Search,9973,485,399.28,33,5388.38
2026-03-21,Retargeting,11146,975,734.56,29,5913.22
2026-03-21,Prospecting Meta,6757,765,59.82,46,3276.08
2026-03-21,YouTube Awareness,11916,1483,426.65,84,7062.73
2026-03-21,Display Remarketing,4079,769,193.02,10,1586.17
2026-03-22,Brand Search,2768,689,585.54,38,2122.52
2026-03-22,Generic Search,18002,899,254.23,96,21318.59
2026-03-22,Retargeting,13271,932,463.79,30,4948.81
2026-03-22,Prospecting Meta,5300,678,715.6,46,2679.7
2026-03-22,YouTube Awareness,6425,874,601.93,66,11550.95
2026-03-22,Display Remarketing,10705,914,518.57,24,1132.51
2026-03-23,Brand Search,19939,360,308.89,27,5962.26
2026-03-23,Generic Search,13093,1487,155.08,130,27036.05
